GEOPOINT,GEOID,NAME,NAMELSAD,STUSAB
41.2044899818; -89.2857803179,17155,Putnam,Putnam County,IL
35.5381064958; -92.0267180322,5023,Cleburne,Cleburne County,AR
47.5095252347; -93.6320085311,27061,Itasca,Itasca County,MN
38.6832973547; -75.3395417153,10005,Sussex,Sussex County,DE
39.8235499831; -85.7732376368,18059,Hancock,Hancock County,IN
37.2035472717; -94.3406053082,29097,Jasper,Jasper County,MO
48.0460953466; -121.722346726,53061,Snohomish,Snohomish County,WA
40.2396222297; -89.9168137955,17125,Mason,Mason County,IL
46.4570264297; -120.738490426,53077,Yakima,Yakima County,WA
32.211900087; -95.8535779226,48213,Henderson,Henderson County,TX
41.6426062358; -85.4264979093,18087,LaGrange,LaGrange County,IN
32.5687919024; -83.8268633608,13225,Peach,Peach County,GA
39.3076165956; -77.8627359849,54037,Jefferson,Jefferson County,WV
32.7715559666; -97.291239244,48439,Tarrant,Tarrant County,TX
32.4063798664; -89.5376379602,28123,Scott,Scott County,MS
38.6890898846; -87.4180084675,18083,Knox,Knox County,IN
40.8699361138; -99.8195657092,31047,Dawson,Dawson County,NE
47.2635798565; -109.224485149,30027,Fergus,Fergus County,MT
36.6057058971; -121.074995529,6069,San Benito,San Benito County,CA
46.4044620332; -113.440367846,30039,Granite,Granite County,MT
44.3383668115; -85.5784138137,26165,Wexford,Wexford County,MI
36.843740372; -81.5369666383,51173,Smyth,Smyth County,VA
45.5614793413; -93.2951672181,27059,Isanti,Isanti County,MN
32.5637166985; -95.83651612,48467,Van Zandt,Van Zandt County,TX
39.8659324961; -74.2499159319,34029,Ocean,Ocean County,NJ
42.0425663561; -89.3207266558,17141,Ogle,Ogle County,IL
39.3497164186; -97.1651722307,20027,Clay,Clay County,KS
39.6557509891; -93.9827993285,29025,Caldwell,Caldwell County,MO
36.7306482485; -83.6740950601,21013,Bell,Bell County,KY
36.7581801263; -119.649322632,6019,Fresno,Fresno County,CA
36.2778878907; -102.60218562,48111,Dallam,Dallam County,TX
32.7864051416; -95.3820619748,48499,Wood,Wood County,TX
44.7891558271; -88.7654354834,55115,Shawano,Shawano County,WI
44.3714339354; -93.7300728963,27079,Le Sueur,Le Sueur County,MN
18.4353927796; -66.3355961365,72143,Vega Alta,Vega Alta Municipio,PR
39.5364361834; -76.2988753861,24025,Harford,Harford County,MD
44.0816034654; -88.2180579882,55015,Calumet,Calumet County,WI
46.5514253133; -123.779667446,53049,Pacific,Pacific County,WA
55.2245210175; -161.947228747,2013,Aleutians East,Aleutians East Borough,AK
43.3091611082; -77.6801783639,36055,Monroe,Monroe County,NY
22.0110798698; -159.7054382,15007,Kauai,Kauai County,HI
33.110112782; -88.5698161858,28103,Noxubee,Noxubee County,MS
45.1600224643; -121.167775167,41065,Wasco,Wasco County,OR
36.1548497851; -86.2977463556,47189,Wilson,Wilson County,TN
42.5882192933; -74.4421175889,36095,Schoharie,Schoharie County,NY
39.509995074; -80.2433983428,54049,Marion,Marion County,WV
